Word,definition,mock1,mock2,mock3,unsure
decry,speak out against,delay,express sadness,refer to,unsure
modicum,small amount,an average size,playful behavior,dishonesty,unsure
pastoral,rural,hidden,wealthy,bygone,unsure
profuse,abundant,large,confident,Short-tempered,unsure
meander,wander,long for,speak unclearly,set in motion,unsure
apogee,highest point,extreme longing,likely occurrence,short saying,unsure
bleak,hopeless,average,aggressive,promising,unsure
obscure,hide from view,unique,make untidy,argue,unsure
appropriate,take forcefully,make usable,make known,open,unsure
contentious,causing arguments,competitive,satisfied,without planning,unsure
